Events/frame: [16384, 16384, 16384, 16384] | Total: 65536 | Rate: 9 kEv/s (Δ 7203 ms)
Locked hwsem at init
USB ready
Waiting for HE core to lock sem 0 
HWSEOM 0 now locked by HE core
Events/frame: [15894, 15738, 14834, 15697] | Total: 62163 | Rate: 971 kEv/s (Δ 64 ms)
Events/frame: [15995, 15972, 15973, 15972] | Total: 63912 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15920, 15970, 15985, 15973] | Total: 63848 | Rate: 1824 kEv/s (Δ 35 ms)
Events/frame: [15973, 15972, 15972, 15972] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15974, 15971, 15972, 15904] | Total: 63821 | Rate: 1679 kEv/s (Δ 38 ms)
Events/frame: [15999, 15973, 15972, 15972] | Total: 63916 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15973] | Total: 63891 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15982, 15972, 15972, 15973] | Total: 63899 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15990, 15972, 15973, 15972] | Total: 63907 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15973, 15972, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15972, 15973, 15973, 15971] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15973, 15972, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15973, 15972, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15974, 15971, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15972, 15973, 15972] | Total: 63889 | Rate: 1774 kEv/s (Δ 36 ms)
Events/frame: [15990, 15973, 15972, 15973] | Total: 63908 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
